0,	8088,	
1,	8090,	
2,	8087,	
3,	8089,	
4,	8086,	
5,	8083,	
6,	8088,	
7,	8088,	
8,	8090,	
9,	8089,	
10,	8094,	
11,	8085,	
12,	8083,	
13,	8082,	
14,	8091,	
15,	8119,	
16,	8908,	
17,	9858,	
18,	10832,	
19,	11825,	
20,	12823,	
21,	13820,	
22,	14230,	
23,	14291,	
24,	14320,	
25,	14341,	
26,	14353,	
27,	14363,	
28,	14369,	
29,	14382,	
30,	14387,	
31,	14392,	
32,	14394,	
33,	14394,	
34,	14403,	
35,	14408,	
36,	14408,	
37,	14407,	
38,	14415,	
39,	14410,	
40,	14384,	
41,	13602,	
42,	12645,	
43,	11668,	
44,	10684,	
45,	9690,	
46,	8689,	
47,	8272,	
48,	8220,	
49,	8194,	
50,	8172,	
51,	8156,	
52,	8147,	
53,	8139,	
54,	8134,	
55,	8127,	
56,	8116,	
57,	8119,	
58,	8115,	
59,	8108,	
60,	8114,	
61,	8107,	
62,	8104,	
63,	8101,	
64,	8100,	
65,	8102,	
66,	8102,	
67,	8093,	
68,	8094,	
69,	8093,	
70,	8093,	
71,	8093,	
72,	8093,	
73,	8098,	
74,	8091,	
75,	8090,	
76,	8088,	
77,	8085,	
78,	8091,	
79,	8091,	
80,	8085,	
81,	8088,	
82,	8091,	
83,	8083,	
84,	8087,	
85,	8084,	
86,	8088,	
87,	8087,	
88,	8091,	
89,	8083,	
90,	8083,	
91,	8086,	
92,	8085,	
93,	8082,	
94,	8084,	
95,	8082,	
96,	8083,	
97,	8087,	
98,	8086,	
99,	8084,	
100,	8086,	
101,	8081,	
102,	8086,	
103,	8082,	
104,	8079,	
105,	8080,	
106,	8081,	
107,	8084,	
108,	8082,	
109,	8087,	
110,	8085,	
111,	8085,	
112,	8081,	
113,	8084,	
114,	8082,	
115,	8082,	
116,	8083,	
117,	8082,	
118,	8080,	
119,	8086,	
120,	8088,	
121,	8085,	
122,	8085,	
123,	8080,	
124,	8085,	
125,	8086,	
126,	8087,	
127,	8084,	
128,	8084,	
129,	8085,	
130,	8084,	
131,	8084,	
132,	8086,	
133,	8080,	
134,	8084,	
135,	8081,	
136,	8084,	
137,	8081,	
138,	8086,	
139,	8088,	
140,	8087,	
141,	8085,	
142,	8085,	
143,	8088,	
144,	8087,	
145,	8085,	
146,	8089,	
147,	8092,	
148,	8081,	
149,	8089,	
150,	8088,	
151,	8088,	
152,	8090,	
153,	8087,	
154,	8083,	
155,	8086,	
156,	8088,	
157,	8086,	
158,	8084,	
159,	8093,	
160,	8086,	
161,	8090,	
162,	8086,	
163,	8082,	
164,	8082,	
165,	8085,	
166,	8086,	
167,	8088,	
168,	8086,	
169,	8089,	
170,	8084,	
171,	8081,	
172,	8083,	
173,	8089,	
174,	8089,	
175,	8085,	
176,	8078,	
177,	8081,	
178,	8086,	
179,	8085,	
180,	8090,	
181,	8082,	
182,	8080,	
183,	8087,	
184,	8092,	
185,	8084,	
186,	8088,	
187,	8092,	
188,	8089,	
189,	8086,	
190,	8089,	
191,	8093,	
192,	8088,	
193,	8094,	
194,	8090,	
195,	8086,	
196,	8086,	
197,	8084,	
198,	8088,	
199,	8087,	
200,	8092,	
201,	8089,	
202,	8089,	
203,	8088,	
204,	8085,	
205,	8090,	
206,	8094,	
207,	8082,	
208,	8085,	
209,	8089,	
210,	8083,	
211,	8086,	
212,	8087,	
213,	8095,	
214,	8088,	
215,	8087,	
216,	8083,	
217,	8090,	
218,	8088,	
219,	8085,	
220,	8082,	
221,	8084,	
222,	8090,	
223,	8088,	
224,	8094,	
225,	8091,	
226,	8085,	
227,	8083,	
228,	8087,	
229,	8085,	
230,	8086,	
231,	8087,	
232,	8088,	
233,	8090,	
234,	8088,	
235,	8090,	
236,	8088,	
237,	8081,	
238,	8089,	
239,	8084,	
240,	8087,	
241,	8087,	
242,	8087,	
243,	8089,	
244,	8089,	
245,	8086,	
246,	8086,	
247,	8086,	
248,	8085,	
249,	8087,	
250,	8087,	
251,	8085,	
252,	8091,	
253,	8091,	
254,	8089,	
255,	8090,	
256,	8092,	
257,	8086,	
258,	8091,	
259,	8091,	
260,	8085,	
261,	8089,	
262,	8092,	
263,	8088,	
264,	8088,	
265,	8095,	
266,	8088,	
267,	8090,	
268,	8090,	
269,	8084,	
270,	8087,	
271,	8086,	
272,	8096,	
273,	8084,	
274,	8088,	
275,	8088,	
276,	8083,	
277,	8091,	
278,	8089,	
279,	8088,	
280,	8089,	
281,	8091,	
282,	8091,	
283,	8092,	
284,	8091,	
285,	8088,	
286,	8092,	
287,	8095,	
288,	8091,	
289,	8084,	
290,	8087,	
291,	8087,	
292,	8083,	
293,	8085,	
294,	8086,	
295,	8094,	
296,	8086,	
297,	8090,	
298,	8085,	
299,	8090,	
300,	8083,	
301,	8092,	
302,	8090,	
303,	8090,	
304,	8092,	
305,	8082,	
306,	8090,	
307,	8088,	
308,	8085,	
309,	8084,	
310,	8089,	
311,	8088,	
312,	8090,	
313,	8090,	
314,	8084,	
315,	8089,	
316,	8085,	
317,	8085,	
318,	8085,	
319,	8085,	
